date,tactic,state,campaign,impressions,clicks,spend,attributed_revenue
2024-01-01,Video_Ads,NY,Brand_Awareness_Q1,5063,120,275.23,114.79
2024-01-01,Video_Ads,MI,Brand_Awareness_Q1,2969,82,125.46,161.94
2024-01-01,Collection_Ads,IL,Brand_Awareness_Q1,4869,76,100.04,70.14
2024-01-01,Collection_Ads,MI,Conversion_Campaign_Jan,6262,147,211.55,0.0
2024-01-01,Collection_Ads,GA,Retargeting_Feb,4997,88,128.9,692.81
2024-01-01,Video_Ads,NY,Retargeting_Feb,4511,86,115.62,185.5
2024-01-01,Carousel_Ads,IL,Product_Launch_Mar,4331,115,205.95,99.84
2024-01-02,Collection_Ads,GA,Brand_Awareness_Q1,5821,152,232.39,49.38
2024-01-02,Single_Image,NC,Conversion_Campaign_Jan,6021,169,258.43,43.44
2024-01-02,Video_Ads,MI,Retargeting_Feb,7902,202,298.55,52.62
2024-01-02,Single_Image,OH,Product_Launch_Mar,4582,78,115.32,0.0
2024-01-02,Carousel_Ads,PA,Product_Launch_Mar,4358,129,180.4,211.79
2024-01-02,Single_Image,GA,Product_Launch_Mar,3837,55,117.16,0.0
2024-01-03,Carousel_Ads,NC,Brand_Awareness_Q1,5840,132,250.34,63.41
2024-01-03,Video_Ads,PA,Brand_Awareness_Q1,4811,93,134.66,68.35
2024-01-03,Carousel_Ads,MI,Brand_Awareness_Q1,4813,113,252.86,198.76
2024-01-03,Collection_Ads,CA,Conversion_Campaign_Jan,7125,162,251.06,335.66
2024-01-03,Video_Ads,CA,Retargeting_Feb,5883,125,225.29,448.78
2024-01-03,Single_Image,NC,Retargeting_Feb,5899,119,192.91,104.69
2024-01-03,Video_Ads,CA,Retargeting_Feb,2762,86,156.98,69.97
2024-01-03,Video_Ads,PA,Product_Launch_Mar,4024,85,61.43,104.76
2024-01-03,Video_Ads,MI,Product_Launch_Mar,4902,99,152.37,251.24
2024-01-03,Collection_Ads,OH,Product_Launch_Mar,1763,30,42.46,0.0
2024-01-04,Video_Ads,IL,Brand_Awareness_Q1,6187,127,184.78,303.63
2024-01-04,Collection_Ads,OH,Conversion_Campaign_Jan,3525,64,151.71,117.43
2024-01-04,Carousel_Ads,NC,Retargeting_Feb,5387,111,161.23,538.98
2024-01-04,Single_Image,CA,Retargeting_Feb,4804,163,150.08,388.54
2024-01-04,Video_Ads,FL,Product_Launch_Mar,6771,114,163.84,211.36
2024-01-05,Video_Ads,GA,Brand_Awareness_Q1,4525,98,218.85,97.96
2024-01-05,Single_Image,FL,Conversion_Campaign_Jan,4766,114,26.08,86.46
2024-01-05,Video_Ads,CA,Conversion_Campaign_Jan,6152,118,220.16,209.68
2024-01-05,Carousel_Ads,GA,Conversion_Campaign_Jan,4028,74,124.42,87.19
2024-01-05,Video_Ads,OH,Retargeting_Feb,3073,56,121.77,127.99
2024-01-05,Collection_Ads,CA,Retargeting_Feb,5686,167,268.98,200.14
2024-01-05,Carousel_Ads,TX,Product_Launch_Mar,6564,138,275.45,282.27
2024-01-05,Single_Image,CA,Product_Launch_Mar,7731,154,379.03,168.08
2024-01-05,Single_Image,IL,Product_Launch_Mar,8246,244,429.34,655.5
2024-01-06,Collection_Ads,FL,Brand_Awareness_Q1,5794,133,110.37,212.64
2024-01-06,Carousel_Ads,NC,Brand_Awareness_Q1,4409,56,58.96,0.0
2024-01-06,Collection_Ads,MI,Conversion_Campaign_Jan,6238,207,343.48,558.36
2024-01-06,Carousel_Ads,TX,Conversion_Campaign_Jan,6217,131,184.0,187.73
2024-01-06,Single_Image,TX,Retargeting_Feb,4670,105,85.69,155.04
2024-01-06,Collection_Ads,PA,Product_Launch_Mar,7626,117,231.33,112.89
2024-01-06,Single_Image,OH,Product_Launch_Mar,2779,66,6.6,85.91
2024-01-07,Collection_Ads,FL,Brand_Awareness_Q1,2348,43,120.35,0.0
2024-01-07,Collection_Ads,NC,Brand_Awareness_Q1,4305,62,68.38,47.85
2024-01-07,Video_Ads,CA,Brand_Awareness_Q1,4676,40,74.1,174.18
2024-01-07,Collection_Ads,PA,Conversion_Campaign_Jan,2861,33,57.75,0.0
2024-01-07,Video_Ads,IL,Retargeting_Feb,6110,155,265.34,308.26
2024-01-07,Carousel_Ads,MI,Product_Launch_Mar,5247,46,52.6,193.7
2024-01-07,Carousel_Ads,PA,Product_Launch_Mar,4157,64,96.36,0.0
2024-01-08,Carousel_Ads,CA,Brand_Awareness_Q1,3038,66,154.53,63.27
2024-01-08,Single_Image,CA,Brand_Awareness_Q1,4755,63,63.51,106.38
2024-01-08,Single_Image,NY,Conversion_Campaign_Jan,3598,62,102.36,97.38
2024-01-08,Carousel_Ads,TX,Conversion_Campaign_Jan,5804,159,224.67,436.11
2024-01-08,Carousel_Ads,GA,Conversion_Campaign_Jan,3792,89,185.41,159.2
2024-01-08,Video_Ads,NC,Retargeting_Feb,4034,97,201.02,249.28
2024-01-08,Video_Ads,OH,Retargeting_Feb,4674,99,148.14,180.54
2024-01-08,Carousel_Ads,MI,Product_Launch_Mar,4321,58,123.16,0.0
2024-01-08,Carousel_Ads,FL,Product_Launch_Mar,4947,162,180.73,372.45
2024-01-08,Video_Ads,FL,Product_Launch_Mar,3562,45,48.28,94.11
2024-01-09,Video_Ads,OH,Brand_Awareness_Q1,4785,50,46.54,0.0
2024-01-09,Video_Ads,NC,Brand_Awareness_Q1,6403,116,102.14,187.1
2024-01-09,Single_Image,MI,Brand_Awareness_Q1,5330,101,144.62,0.0
2024-01-09,Video_Ads,IL,Conversion_Campaign_Jan,6498,145,196.3,415.16
2024-01-09,Collection_Ads,FL,Conversion_Campaign_Jan,5024,25,33.57,68.15
2024-01-09,Carousel_Ads,NY,Conversion_Campaign_Jan,2898,47,30.51,78.79
2024-01-09,Video_Ads,PA,Retargeting_Feb,4255,83,187.68,207.54
2024-01-09,Video_Ads,TX,Product_Launch_Mar,5712,79,137.49,146.75
2024-01-09,Carousel_Ads,MI,Product_Launch_Mar,3572,90,126.77,128.3
2024-01-10,Carousel_Ads,PA,Brand_Awareness_Q1,4440,61,98.86,51.86
2024-01-10,Single_Image,FL,Brand_Awareness_Q1,5753,106,100.38,70.66
2024-01-10,Carousel_Ads,NC,Conversion_Campaign_Jan,4797,101,158.76,586.88
2024-01-10,Single_Image,FL,Retargeting_Feb,4404,89,124.54,182.24
2024-01-10,Single_Image,NC,Retargeting_Feb,5136,119,177.37,285.62
2024-01-10,Video_Ads,NY,Retargeting_Feb,4822,66,155.97,64.35
2024-01-10,Collection_Ads,NC,Product_Launch_Mar,5580,137,310.68,153.59
2024-01-10,Collection_Ads,IL,Product_Launch_Mar,2134,43,92.26,0.0
2024-01-10,Collection_Ads,GA,Product_Launch_Mar,2915,32,36.59,231.62
2024-01-11,Carousel_Ads,TX,Brand_Awareness_Q1,2432,38,83.9,0.0
2024-01-11,Collection_Ads,NY,Brand_Awareness_Q1,6983,234,422.03,771.26
2024-01-11,Collection_Ads,GA,Brand_Awareness_Q1,4941,70,139.54,0.0
2024-01-11,Collection_Ads,FL,Conversion_Campaign_Jan,5962,116,51.35,380.1
2024-01-11,Single_Image,CA,Conversion_Campaign_Jan,6932,128,216.18,177.42
2024-01-11,Single_Image,GA,Retargeting_Feb,6646,163,153.06,172.46
2024-01-11,Video_Ads,GA,Product_Launch_Mar,4487,74,71.79,203.45
2024-01-11,Carousel_Ads,OH,Product_Launch_Mar,4395,114,184.05,265.29
2024-01-12,Single_Image,NC,Brand_Awareness_Q1,3806,56,116.59,0.0
2024-01-12,Video_Ads,CA,Conversion_Campaign_Jan,7642,158,283.69,174.18
2024-01-12,Collection_Ads,CA,Conversion_Campaign_Jan,7364,153,242.3,405.67
2024-01-12,Collection_Ads,CA,Retargeting_Feb,3747,41,63.58,54.07
2024-01-12,Carousel_Ads,TX,Retargeting_Feb,4412,84,114.99,141.54
2024-01-12,Video_Ads,NY,Product_Launch_Mar,6494,151,265.55,91.37
2024-01-12,Carousel_Ads,GA,Product_Launch_Mar,5132,72,152.49,0.0
2024-01-13,Carousel_Ads,IL,Brand_Awareness_Q1,4887,99,148.95,88.04
2024-01-13,Collection_Ads,NC,Brand_Awareness_Q1,6620,157,247.42,72.85
2024-01-13,Single_Image,TX,Brand_Awareness_Q1,3583,50,79.89,113.05
2024-01-13,Collection_Ads,OH,Conversion_Campaign_Jan,4079,55,26.79,96.41
2024-01-13,Carousel_Ads,FL,Conversion_Campaign_Jan,5881,119,333.35,237.63
2024-01-13,Carousel_Ads,IL,Retargeting_Feb,6345,120,113.1,317.57
2024-01-13,Video_Ads,NC,Product_Launch_Mar,6112,114,168.14,167.25
2024-01-14,Carousel_Ads,MI,Brand_Awareness_Q1,4480,114,137.75,125.11
2024-01-14,Video_Ads,MI,Conversion_Campaign_Jan,5103,65,72.87,293.91
2024-01-14,Collection_Ads,GA,Retargeting_Feb,3474,108,55.36,44.49
2024-01-14,Collection_Ads,PA,Retargeting_Feb,3072,76,107.59,515.9
2024-01-14,Single_Image,CA,Retargeting_Feb,7312,124,130.51,375.41
2024-01-14,Collection_Ads,NY,Product_Launch_Mar,6520,199,322.51,447.95
2024-01-14,Video_Ads,OH,Product_Launch_Mar,3178,107,224.61,139.99
2024-01-15,Single_Image,NC,Brand_Awareness_Q1,9634,213,40.27,97.29
2024-01-15,Collection_Ads,OH,Brand_Awareness_Q1,8437,230,390.58,0.0
2024-01-15,Single_Image,NY,Conversion_Campaign_Jan,8732,142,284.01,306.83
2024-01-15,Carousel_Ads,OH,Conversion_Campaign_Jan,5934,127,272.87,439.46
2024-01-15,Single_Image,NC,Retargeting_Feb,7731,150,307.32,279.14
2024-01-15,Carousel_Ads,OH,Retargeting_Feb,5343,144,298.61,408.74
2024-01-15,Collection_Ads,PA,Product_Launch_Mar,3442,73,117.8,153.6
2024-01-15,Carousel_Ads,FL,Product_Launch_Mar,5467,102,198.74,142.08
2024-01-15,Collection_Ads,CA,Product_Launch_Mar,4175,95,183.03,125.08
2024-01-16,Single_Image,CA,Brand_Awareness_Q1,5204,113,98.13,70.59
2024-01-16,Carousel_Ads,IL,Conversion_Campaign_Jan,4900,80,92.43,172.35
2024-01-16,Collection_Ads,FL,Retargeting_Feb,3985,40,50.75,62.23
2024-01-16,Video_Ads,NC,Retargeting_Feb,4013,99,190.05,350.89
2024-01-16,Single_Image,IL,Product_Launch_Mar,5817,106,94.06,0.0
2024-01-16,Single_Image,NC,Product_Launch_Mar,5971,138,193.6,268.13
2024-01-17,Video_Ads,TX,Brand_Awareness_Q1,6135,144,285.53,0.0
2024-01-17,Single_Image,NC,Brand_Awareness_Q1,5621,94,172.26,93.06
2024-01-17,Single_Image,FL,Conversion_Campaign_Jan,7992,75,101.01,127.51
2024-01-17,Carousel_Ads,MI,Conversion_Campaign_Jan,4008,110,160.76,124.47
2024-01-17,Video_Ads,NC,Conversion_Campaign_Jan,5540,113,87.54,159.87
2024-01-17,Single_Image,NY,Retargeting_Feb,8337,137,205.99,580.64
2024-01-17,Video_Ads,TX,Retargeting_Feb,4530,59,59.31,73.75
2024-01-17,Collection_Ads,CA,Retargeting_Feb,5650,130,152.93,570.54
2024-01-17,Video_Ads,NC,Product_Launch_Mar,6763,205,333.41,357.95
2024-01-17,Video_Ads,CA,Product_Launch_Mar,3356,79,141.1,61.69
2024-01-17,Single_Image,FL,Product_Launch_Mar,4965,108,127.76,84.1
2024-01-18,Video_Ads,TX,Brand_Awareness_Q1,6430,126,219.92,75.76
2024-01-18,Video_Ads,TX,Brand_Awareness_Q1,7369,218,356.48,238.24
2024-01-18,Carousel_Ads,FL,Brand_Awareness_Q1,6924,116,222.84,0.0
2024-01-18,Single_Image,IL,Conversion_Campaign_Jan,4318,94,185.77,58.6
2024-01-18,Single_Image,GA,Conversion_Campaign_Jan,4028,97,170.13,0.0
2024-01-18,Video_Ads,TX,Conversion_Campaign_Jan,5379,120,128.89,272.56
2024-01-18,Carousel_Ads,CA,Retargeting_Feb,4241,77,125.75,196.61
2024-01-18,Collection_Ads,CA,Product_Launch_Mar,6894,159,247.6,204.86
2024-01-19,Collection_Ads,GA,Brand_Awareness_Q1,6082,113,51.18,104.05
2024-01-19,Collection_Ads,CA,Brand_Awareness_Q1,5306,158,332.61,0.0
2024-01-19,Carousel_Ads,TX,Brand_Awareness_Q1,4858,107,185.99,0.0
2024-01-19,Video_Ads,MI,Conversion_Campaign_Jan,7170,117,197.04,117.66
2024-01-19,Video_Ads,GA,Conversion_Campaign_Jan,4211,78,158.86,479.63
2024-01-19,Single_Image,NC,Conversion_Campaign_Jan,4321,89,183.96,263.06
2024-01-19,Single_Image,CA,Retargeting_Feb,3361,66,6.6,134.3
2024-01-19,Single_Image,OH,Retargeting_Feb,6924,139,278.07,272.93
2024-01-19,Single_Image,PA,Product_Launch_Mar,7110,113,92.69,494.69
2024-01-20,Collection_Ads,GA,Brand_Awareness_Q1,5590,144,330.63,57.16
2024-01-20,Video_Ads,PA,Brand_Awareness_Q1,3749,90,288.15,0.0
2024-01-20,Video_Ads,GA,Brand_Awareness_Q1,3657,74,116.84,0.0
2024-01-20,Video_Ads,GA,Conversion_Campaign_Jan,5923,135,259.66,334.37
2024-01-20,Carousel_Ads,FL,Conversion_Campaign_Jan,7390,206,343.86,261.37
2024-01-20,Single_Image,CA,Retargeting_Feb,4076,98,141.71,251.62
2024-01-20,Single_Image,FL,Retargeting_Feb,7449,215,350.2,764.16
2024-01-20,Carousel_Ads,IL,Product_Launch_Mar,4964,100,103.94,184.53
2024-01-20,Carousel_Ads,NY,Product_Launch_Mar,6222,139,151.03,374.2
2024-01-20,Single_Image,TX,Product_Launch_Mar,2780,51,65.65,0.0
2024-01-21,Carousel_Ads,PA,Brand_Awareness_Q1,3860,63,77.22,0.0
2024-01-21,Collection_Ads,IL,Conversion_Campaign_Jan,3106,41,88.32,330.5
2024-01-21,Video_Ads,NY,Conversion_Campaign_Jan,7548,206,206.55,415.46
2024-01-21,Single_Image,NY,Retargeting_Feb,4413,90,189.79,0.0
2024-01-21,Single_Image,TX,Retargeting_Feb,6246,157,285.33,394.71
2024-01-21,Collection_Ads,IL,Retargeting_Feb,6512,135,269.74,987.56
2024-01-21,Carousel_Ads,IL,Product_Launch_Mar,8564,178,248.39,283.15
2024-01-21,Single_Image,PA,Product_Launch_Mar,6815,171,279.98,777.23
2024-01-22,Single_Image,IL,Brand_Awareness_Q1,5099,26,31.38,0.0
2024-01-22,Single_Image,FL,Conversion_Campaign_Jan,3968,89,88.73,101.0
2024-01-22,Single_Image,OH,Conversion_Campaign_Jan,6441,130,210.23,430.93
2024-01-22,Single_Image,GA,Retargeting_Feb,5496,125,243.37,263.44
2024-01-22,Carousel_Ads,IL,Retargeting_Feb,5863,84,120.12,96.63
2024-01-22,Collection_Ads,FL,Product_Launch_Mar,6419,146,243.65,515.07
2024-01-22,Carousel_Ads,FL,Product_Launch_Mar,8512,173,157.29,243.72
2024-01-23,Single_Image,FL,Brand_Awareness_Q1,6723,147,257.64,107.57
2024-01-23,Video_Ads,NC,Brand_Awareness_Q1,7810,103,129.23,98.11
2024-01-23,Video_Ads,IL,Conversion_Campaign_Jan,5796,87,97.47,179.59
2024-01-23,Collection_Ads,OH,Conversion_Campaign_Jan,2288,66,53.62,161.84
2024-01-23,Single_Image,IL,Conversion_Campaign_Jan,6818,141,172.81,354.96
2024-01-23,Single_Image,FL,Retargeting_Feb,5457,88,112.86,185.84
2024-01-23,Collection_Ads,CA,Product_Launch_Mar,4192,95,126.9,88.83
2024-01-24,Collection_Ads,NY,Brand_Awareness_Q1,1449,29,60.36,0.0
2024-01-24,Collection_Ads,CA,Brand_Awareness_Q1,7478,152,285.15,227.2
2024-01-24,Single_Image,IL,Brand_Awareness_Q1,5328,103,111.36,260.45
2024-01-24,Collection_Ads,MI,Conversion_Campaign_Jan,6551,142,284.19,264.54
2024-01-24,Video_Ads,FL,Retargeting_Feb,5989,153,239.43,237.61
2024-01-24,Carousel_Ads,CA,Retargeting_Feb,6033,104,152.55,430.57
2024-01-24,Video_Ads,IL,Retargeting_Feb,6564,160,254.1,107.92
2024-01-24,Carousel_Ads,NY,Product_Launch_Mar,5060,88,150.0,0.0
2024-01-24,Carousel_Ads,IL,Product_Launch_Mar,5624,114,260.68,110.12
2024-01-24,Collection_Ads,NY,Product_Launch_Mar,3548,87,176.24,182.49
2024-01-25,Collection_Ads,OH,Brand_Awareness_Q1,6526,162,296.46,0.0
2024-01-25,Carousel_Ads,MI,Conversion_Campaign_Jan,4235,112,88.71,41.68
2024-01-25,Carousel_Ads,FL,Conversion_Campaign_Jan,8468,156,352.78,126.66
2024-01-25,Single_Image,MI,Retargeting_Feb,6144,117,107.42,710.36
2024-01-25,Video_Ads,TX,Retargeting_Feb,3642,46,87.28,150.17
2024-01-25,Collection_Ads,PA,Product_Launch_Mar,5843,153,190.02,492.62
2024-01-25,Collection_Ads,IL,Product_Launch_Mar,6322,105,171.01,0.0
2024-01-26,Single_Image,PA,Brand_Awareness_Q1,6695,79,181.17,72.16
2024-01-26,Video_Ads,TX,Brand_Awareness_Q1,5439,98,219.99,100.85
2024-01-26,Single_Image,PA,Conversion_Campaign_Jan,6295,160,317.41,86.83
2024-01-26,Carousel_Ads,FL,Conversion_Campaign_Jan,5380,149,175.18,80
2024-01-26,Video_Ads,GA,Retargeting_Feb,6380,93,199.52,490.38
2024-01-26,Single_Image,OH,Product_Launch_Mar,8082,68,92.06,371.38
2024-01-26,Carousel_Ads,MI,Product_Launch_Mar,8763,267,502.47,606.05
2024-01-27,Carousel_Ads,IL,Brand_Awareness_Q1,4879,96,119.89,136.82
2024-01-27,Single_Image,CA,Brand_Awareness_Q1,5796,178,367.55,0.0
2024-01-27,Collection_Ads,PA,Conversion_Campaign_Jan,5419,77,92.69,166.14
2024-01-27,Single_Image,CA,Conversion_Campaign_Jan,6418,104,115.08,0.0
2024-01-27,Video_Ads,FL,Retargeting_Feb,7604,125,198.53,522.91
2024-01-27,Single_Image,PA,Retargeting_Feb,6432,120,203.25,370.49
2024-01-27,Video_Ads,OH,Retargeting_Feb,6179,149,239.26,340.3
2024-01-27,Video_Ads,NY,Product_Launch_Mar,4907,73,121.54,365.76
2024-01-27,Collection_Ads,GA,Product_Launch_Mar,6511,104,149.63,0.0
2024-01-28,Single_Image,NC,Brand_Awareness_Q1,5099,123,180.35,53.74
2024-01-28,Single_Image,PA,Brand_Awareness_Q1,7165,178,164.57,345.69
2024-01-28,Single_Image,GA,Conversion_Campaign_Jan,4938,68,105.47,155.69
