date,tactic,state,campaign,impressions,clicks,spend,attributed_revenue
2024-01-01,Spark_Ads,TX,Gen_Z_Outreach,8855,128,171.38,233.34
2024-01-01,TopView_Ads,OH,Product_Demo_Videos,13897,428,547.07,408.07
2024-01-02,In_Feed_Ads,IL,Gen_Z_Outreach,8586,120,72.35,305.44
2024-01-02,Spark_Ads,OH,Influencer_Collab,11992,265,134.57,483.83
2024-01-02,Branded_Hashtag,NY,Product_Demo_Videos,11646,155,156.58,169.17
2024-01-03,TopView_Ads,CA,Gen_Z_Outreach,12721,272,213.77,393.87
2024-01-03,TopView_Ads,PA,Influencer_Collab,7417,81,67.94,203.46
2024-01-04,Branded_Hashtag,FL,Gen_Z_Outreach,13167,164,237.61,321.02
2024-01-04,TopView_Ads,NY,Trend_Challenge,14629,299,219.74,417.74
2024-01-04,In_Feed_Ads,MI,Influencer_Collab,14741,433,420.76,974.36
2024-01-05,TopView_Ads,FL,Gen_Z_Outreach,16022,109,135.38,108.88
2024-01-05,Spark_Ads,FL,Influencer_Collab,10182,162,153.85,493.83
2024-01-06,In_Feed_Ads,NC,Product_Demo_Videos,20885,477,349.25,733.51
2024-01-07,TopView_Ads,NC,Trend_Challenge,13988,288,160.22,297.44
2024-01-08,TopView_Ads,OH,Gen_Z_Outreach,13540,265,149.16,864.97
2024-01-08,Spark_Ads,IL,Trend_Challenge,10368,202,115.86,116.24
2024-01-08,Branded_Hashtag,CA,Influencer_Collab,11104,180,129.55,263.81
2024-01-08,Branded_Hashtag,TX,Product_Demo_Videos,7877,223,237.98,277.64
2024-01-09,TopView_Ads,NY,Gen_Z_Outreach,14080,248,209.24,190.26
2024-01-09,Spark_Ads,OH,Trend_Challenge,10698,231,250.51,213.33
2024-01-09,TopView_Ads,PA,Influencer_Collab,16406,82,29.83,38.66
2024-01-09,Branded_Hashtag,MI,Product_Demo_Videos,14159,378,374.87,255.61
2024-01-10,TopView_Ads,MI,Gen_Z_Outreach,3861,90,74.67,380.45
2024-01-10,In_Feed_Ads,FL,Trend_Challenge,17638,88,75.7,129.06
2024-01-10,Branded_Hashtag,TX,Influencer_Collab,12940,87,28.02,385.82
2024-01-11,Branded_Hashtag,TX,Gen_Z_Outreach,9987,173,82.87,82.5
2024-01-11,Branded_Hashtag,NY,Trend_Challenge,13471,67,21.04,63.07
2024-01-11,Spark_Ads,NY,Product_Demo_Videos,16050,264,182.58,131.89
2024-01-12,In_Feed_Ads,PA,Gen_Z_Outreach,19260,337,221.65,270.04
2024-01-12,TopView_Ads,CA,Trend_Challenge,16452,250,217.63,532.03
2024-01-12,Spark_Ads,NC,Product_Demo_Videos,8485,161,132.04,385.4
2024-01-13,In_Feed_Ads,IL,Gen_Z_Outreach,12526,168,164.6,462.98
2024-01-13,Branded_Hashtag,OH,Trend_Challenge,17095,414,288.69,685.39
2024-01-13,In_Feed_Ads,TX,Influencer_Collab,10639,53,43.98,0.0
2024-01-14,TopView_Ads,MI,Gen_Z_Outreach,4435,58,38.7,161.87
2024-01-14,Spark_Ads,IL,Trend_Challenge,8989,95,92.32,225.09
2024-01-14,TopView_Ads,TX,Influencer_Collab,12036,60,57.99,53.24
2024-01-14,In_Feed_Ads,MI,Product_Demo_Videos,16146,80,43.97,58.18
2024-01-15,Branded_Hashtag,TX,Gen_Z_Outreach,11129,212,58.79,408.56
2024-01-15,In_Feed_Ads,IL,Trend_Challenge,7437,139,108.06,236.03
2024-01-15,In_Feed_Ads,IL,Influencer_Collab,17780,309,150.93,290.94
2024-01-15,TopView_Ads,NY,Product_Demo_Videos,16991,186,180.14,143.77
2024-01-16,Branded_Hashtag,CA,Trend_Challenge,6051,121,69.16,0.0
2024-01-17,TopView_Ads,OH,Gen_Z_Outreach,14177,212,328.06,344.45
2024-01-17,TopView_Ads,OH,Trend_Challenge,20118,294,228.14,172.52
2024-01-17,Branded_Hashtag,PA,Influencer_Collab,17738,283,124.49,352.5
2024-01-18,TopView_Ads,OH,Gen_Z_Outreach,13731,215,145.83,164.19
2024-01-18,Branded_Hashtag,PA,Trend_Challenge,24428,122,107.77,282.71
2024-01-18,TopView_Ads,NY,Influencer_Collab,18250,133,13.3,389.59
2024-01-18,TopView_Ads,IL,Product_Demo_Videos,9312,46,50.44,0.0
2024-01-19,Branded_Hashtag,OH,Gen_Z_Outreach,16582,331,273.94,244.26
2024-01-19,Spark_Ads,GA,Trend_Challenge,17972,511,521.39,413.86
2024-01-19,Spark_Ads,TX,Product_Demo_Videos,10576,215,178.47,419.81
2024-01-20,Branded_Hashtag,FL,Trend_Challenge,15317,398,256.15,113.06
2024-01-21,Branded_Hashtag,PA,Gen_Z_Outreach,4546,79,65.41,107.37
2024-01-21,Spark_Ads,NY,Trend_Challenge,14440,220,135.73,156.91
2024-01-21,Branded_Hashtag,OH,Influencer_Collab,9421,161,20.91,161.47
